종목,기호,거래소
미국 달러 지수 선물,DX,ICE
코스피지수,.KS11,KS
코스닥,.KQ11,KQ
코스피 200,.KS200,KS
코스피200 선물 (F),KOR200c1,KRX
KOSPI Volatility,.KSVKOSPI,KS
다우존스,.DJI,NYSE
US 30 Cash,US30,US Indexes
러셀 2000 지수,US2000,NYSE
US 2000 Cash,US2000,US Indexes
S&P 500,US500,NYSE
US 500 Cash,US500,US Indexes
나스닥 100,.NDX,NASDAQ
US Tech 100 Cash,USTECH,US Indexes
나스닥종합지수,.IXIC,NASDAQ
CBOE Volatility Index,VIX,CBOE
S&P 500 VIX 선물,VX,CBOE
USD/CNY - 미국 달러 중국 위안,USD/CNY - 미국 달러 중국 위안,외환
USD/GBP - 미국 달러 영국 파운드,USD/GBP - 미국 달러 영국 파운드,외환
USD/EUR - 미국 달러 유로,USD/EUR - 미국 달러 유로,외환
USD/JPY - 미국 달러 일본 엔,USD/JPY - 미국 달러 일본 엔,외환
USD/CHF - 미국 달러 스위스 프랑,USD/CHF - 미국 달러 스위스 프랑,외환
USD/SEK - 미국 달러 스웨덴 크로나,USD/SEK - 미국 달러 스웨덴 크로나,외환
USD/CAD - 미국 달러 캐나다 달러,USD/CAD - 미국 달러 캐나다 달러,외환
USD/AUD - 미국 달러 호주 달러,USD/AUD - 미국 달러 호주 달러,외환
USD/HKD - 미국 달러 홍콩 달러,USD/HKD - 미국 달러 홍콩 달러,외환
USD/SGD - 미국 달러 싱가폴 달러,USD/SGD - 미국 달러 싱가폴 달러,외환
USD/QAR - 미국 달러 카타르 리얄,USD/QAR - 미국 달러 카타르 리얄,외환
USD/HUF - 미국 달러 헝가리 포린트,USD/HUF - 미국 달러 헝가리 포린트,외환
USD/NOK - 미국 달러 노르웨이 크로네,USD/NOK - 미국 달러 노르웨이 크로네,외환
USD/ZAR - 미국 달러 남아프리카 란드,USD/ZAR - 미국 달러 남아프리카 란드,외환
USD/XPF - 미국 달러 프랑스 퍼시픽 프랑,USD/XPF - 미국 달러 프랑스 퍼시픽 프랑,외환
USD/PLN - 미국 달러 폴란드 즈워티,USD/PLN - 미국 달러 폴란드 즈워티,외환
USD/ILS - 미국 달러 이스라엘 세켈,USD/ILS - 미국 달러 이스라엘 세켈,외환
USD/TRY - 미국 달러 터키 리라,USD/TRY - 미국 달러 터키 리라,외환
USD/THB - 미국 달러 태국 바트,USD/THB - 미국 달러 태국 바트,외환
USD/RUB - 미국 달러 러시아 루블,USD/RUB - 미국 달러 러시아 루블,외환
USD/IDR - 미국 달러 인도네시아 루피아,USD/IDR - 미국 달러 인도네시아 루피아,외환
USD/INR - 미국 달러 인도 루피,USD/INR - 미국 달러 인도 루피,외환
USD/BRL - 미국 달러 브라질 헤알,USD/BRL - 미국 달러 브라질 헤알,외환
USD/KRW - 미국 달러 원,USD/KRW - 미국 달러 원,외환
CNY/KRW - 중국 위안 원,CNY/KRW - 중국 위안 원,외환
JPY/KRW - 일본 엔 원,JPY/KRW - 일본 엔 원,외환
BTC/USD - 비트코인 미국 달러,BTC/USD - 비트코인 미국 달러,Binance
ETH/USD - 이더리움 미국 달러,ETH/USD - 이더리움 미국 달러,Binance
XRP/USD - XRP 미국 달러,XRP/USD - XRP 미국 달러,Binance
미국 1개월,US1MT=RR,NYSE
미국 3개월,US3MT=RR,NYSE
미국 6개월,US6MT=RR,NYSE
미국 1년,US1YT=RR,NYSE
미국 2년,US2YT=RR,NYSE
미국 3년,US3YT=RR,NYSE
미국 5년,US5YT=RR,NYSE
미국 7년,US7YT=RR,NYSE
미국 10년물 국채 금리 ,US10YT=RR,NYSE
미국 20년,US20YT=RR,NYSE
미국 30년,US30YT=RR,NYSE
한국 1년,KR1YT=RR,KS
한국 2년,KR2YT=RR,KS
한국 3년,KR3YT=RR,KS
한국 4년,KR4YT=RR,KS
한국 5년,KR5YT=RR,KS
한국 10년,KR10YT=RR,KS
한국 20년,KR20YT=RR,KS
한국 30년,KR30YT=RR,KS
한국 50년,KR50YT=RR,KS
중국 1년,CN1YT=RR,SS
중국 2년,CN2YT=RR,SS
중국 3년,CN3YT=RR,SS
중국 5년,CN5YT=RR,SS
중국 7년,CN7YT=RR,SS
중국 10년,CN10YT=RR,SS
중국 15년,CN15YT=RR,SS
중국 20년,CN20YT=RR,SS
중국 30년,CN30YT=RR,SS
홍콩 1주,HK1WT=RR,HK
홍콩 1개월,HK1MT=RR,HK
홍콩 3개월,HK3MT=RR,HK
홍콩 6개월,HK6MT=RR,HK
홍콩 9개월,HK9MT=RR,HK
홍콩 1년,HK1YT=RR,HK
홍콩 2년,HK2YT=RR,HK
홍콩 3년,HK3YT=RR,HK
홍콩 5년,HK5YT=RR,HK
홍콩 7년,HK7YT=RR,HK
홍콩 10년,HK10YT=RR,HK
홍콩 15년,HK15YT=RR,HK
싱가폴 1개월,SG1MT=RR,SGX
싱가폴 3개월,SG3MT=RR,SGX
싱가폴 6개월,SG6MT=RR,SGX
싱가폴 1년,SG1YT=RR,SGX
싱가폴 2년,SG2YT=RR,SGX
싱가폴 5년,SG5YT=RR,SGX
싱가폴 10년,SG10YT=RR,SGX
싱가폴 15년,SG15YT=RR,SGX
싱가폴 20년,SG20YT=RR,SGX
싱가폴 30년,SG30YT=RR,SGX
일본 1개월,JP1MT=RR,TYO
일본 3개월,JP3MT=RR,TYO
일본 6개월,JP6MT=RRPS,TYO
일본 9개월,JP9MT=RR,TYO
일본 1년,JP1YT=RR,TYO
일본 2년,JP2YT=RR,TYO
일본 3년,JP3YT=RR,TYO
